id,year,clearance,carclass,height,length,doorscount,width,fuelconsumption,bodytype,power,cost,availabilitycount,photo,mark,model,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,X,Y
913,2010,130,E,1460,4961,4,2053,-1,SEDAN,238,1000000,1,http://avatars.mds.yandex.net/get-verba/787013/2a000001609cf19ea2d4cca2650618750967/cattouchret,Jaguar,XF,,,,,,,-15.437183,1.2011915
914,2011,130,E,1460,4961,4,1877,-1,SEDAN,240,1100000,3,http://avatars.mds.yandex.net/get-verba/216201/2a000001609cf210b766dab13f5e01365048/cattouchret,Jaguar,XF,,,,,,,-16.3219,2.638522
915,2012,130,E,1460,4961,4,1877,-1,SEDAN,240,1500000,5,http://avatars.mds.yandex.net/get-verba/216201/2a000001609cf210b766dab13f5e01365048/cattouchret,Jaguar,XF,,,,,,,-16.32191,2.6385207
916,2013,130,E,1460,4961,4,1877,-1,SEDAN,240,1400000,4,http://avatars.mds.yandex.net/get-verba/216201/2a000001609cf210b766dab13f5e01365048/cattouchret,Jaguar,XF,,,,,,,-16.321932,2.638317
917,2014,130,E,1460,4961,4,1877,-1,SEDAN,240,1300000,2,http://avatars.mds.yandex.net/get-verba/216201/2a000001609cf210b766dab13f5e01365048/cattouchret,Jaguar,XF,,,,,,,-16.321901,2.6385193
918,2015,116,E,1457,4954,4,1880,-1,SEDAN,200,2500000,1,http://avatars.mds.yandex.net/get-verba/787013/2a000001609cf97366aaa385b436d270e02f/cattouchret,Jaguar,XF,,,,,,,-16.753258,3.14848
919,2016,116,E,1457,4954,4,1880,-1,SEDAN,200,2800000,1,http://avatars.mds.yandex.net/get-verba/787013/2a000001609cf97366aaa385b436d270e02f/cattouchret,Jaguar,XF,,,,,,,-16.753254,3.148487
920,2018,116,E,1457,4954,4,1880,-1,SEDAN,200,2700000,2,http://avatars.mds.yandex.net/get-verba/787013/2a000001609cf97366aaa385b436d270e02f/cattouchret,Jaguar,XF,,,,,,,-16.753248,3.148488
921,2010,130,F,1456,5127,4,1950,-1,SEDAN,240,1600000,2,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d3d86d008c94cb3341bdfbff2/cattouchret,Jaguar,XJ,,,,,,,-18.186169,-2.0819385
922,2012,130,F,1456,5127,4,1950,-1,SEDAN,240,1800000,2,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d3d86d008c94cb3341bdfbff2/cattouchret,Jaguar,XJ,,,,,,,-18.186172,-2.0819366
