car_full_id,X,Y
377_2012_BMW_7ER,18.084232,1.6415486
378_2013_BMW_7ER,18.084238,1.6415468
379_2014_BMW_7ER,18.084248,1.6415505
380_2015_BMW_7ER,18.200026,1.7386281
381_2016_BMW_7ER,18.20008,1.7385628
382_2017_BMW_7ER,18.200026,1.7386304
383_2018_BMW_7ER,18.200165,1.7385119
384_2019_BMW_7ER,18.374565,3.458664
385_2020_BMW_7ER,18.374565,3.4586558
386_2018_BMW_8ER,11.273053,-2.3040872
387_2019_BMW_8ER,11.273055,-2.30409
388_2020_BMW_8ER,11.273055,-2.3040864
389_2016_BMW_i3,-17.441061,-0.8737296
390_2018_BMW_i3,-17.474087,-0.75862914
391_2019_BMW_i3,-17.474112,-0.758653
392_2017_BMW_M2,-0.22591653,-17.216381
393_2014_BMW_M4,9.460997,-3.6390302
394_2016_BMW_M4,9.4609995,-3.639029
395_2018_BMW_M4,9.449701,-3.6315358
396_2012_BMW_M5,13.068971,1.8989394
397_2013_BMW_M5,13.404451,1.7084574
398_2018_BMW_M5,13.418257,1.8566773
399_2013_BMW_M6,13.4256315,1.5725651
400_2010_BMW_X1,-6.569837,-2.9182239
401_2011_BMW_X1,-6.5698338,-2.9182255
402_2012_BMW_X1,-5.4908724,-2.738818
403_2013_BMW_X1,-5.4908714,-2.7388177
404_2014_BMW_X1,-5.4908724,-2.7388182
405_2016_BMW_X1,-6.3739576,-0.3821625
406_2017_BMW_X1,-6.3739753,-0.38211533
407_2018_BMW_X1,-6.3739753,-0.38211417
408_2019_BMW_X1,-6.2823925,-0.40938783
409_2020_BMW_X1,-6.282393,-0.4093891
410_2018_BMW_X2,-9.067806,-6.644797
411_2020_BMW_X2,-9.067823,-6.644829
412_2010_BMW_X3,-0.94560593,9.260732
413_2011_BMW_X3,-0.94552726,9.260741
414_2012_BMW_X3,-0.9455276,9.260742
415_2013_BMW_X3,-0.9455255,9.260741
416_2014_BMW_X3,-0.7612098,9.414853
417_2015_BMW_X3,-0.7612124,9.414857
418_2016_BMW_X3,-0.76120985,9.414853
419_2017_BMW_X3,-0.31538254,10.6387615
420_2018_BMW_X3,-0.31538197,10.638761
421_2019_BMW_X3,-0.31512424,10.639434
422_2020_BMW_X3,-0.31518617,10.638759
423_2014_BMW_X4,-0.17444345,9.273742
424_2015_BMW_X4,-0.17445108,9.2737255
425_2016_BMW_X4,-0.17443885,9.273732
426_2017_BMW_X4,-0.17479613,9.273742
427_2018_BMW_X4,1.5108525,5.524022
428_2019_BMW_X4,1.5108095,5.5241113
429_2020_BMW_X4,1.5107588,5.5242004
430_2019_BMW_X4 M,10.8722515,3.7706077
431_2010_BMW_X5,6.737627,6.718787
432_2011_BMW_X5,6.7376165,6.7187386
433_2012_BMW_X5,6.737673,6.718737
434_2013_BMW_X5,1.0589242,14.0063715
435_2014_BMW_X5,1.0589194,14.006376
436_2015_BMW_X5,1.0589193,14.006376
437_2016_BMW_X5,1.0589207,14.006374
438_2017_BMW_X5,1.058922,14.006374
439_2018_BMW_X5,8.584259,8.22595
440_2019_BMW_X5,8.584464,8.224195
441_2020_BMW_X5,8.5842495,8.225716
442_2011_BMW_X5 M,11.332069,3.5318959
443_2013_BMW_X5 M,11.332071,3.5318966
444_2015_BMW_X5 M,11.379023,3.509752
445_2016_BMW_X5 M,11.379033,3.5097525
446_2010_BMW_X6,8.99224,5.6533284
